q,2q_plus_1,is_SG,first_obstruction_prime,obstruction_factor,S_f,d_eff
3,7,True,7,0.8333,3.3620,0.59
5,11,True,11,0.7000,3.6780,1.09
7,15,False,29,0.8214,5.2307,1.15
11,23,True,23,0.5909,4.0121,2.49
13,27,False,53,0.7885,5.6507,2.12
17,35,False,103,0.8529,6.8030,2.35
19,39,False,191,0.9105,8.8862,2.03
23,47,True,47,0.5435,4.2629,5.16
31,63,False,311,0.9065,9.6335,3.11
37,75,False,149,0.7635,7.3604,4.89
41,83,True,83,0.5244,5.7425,6.97
43,87,False,173,0.7616,7.7123,5.45
47,95,False,283,0.8404,8.6826,5.30
53,107,True,107,0.5189,6.0622,8.58
61,123,False,367,0.8388,9.1618,6.55
71,143,False,569,0.8785,9.5966,7.29
83,167,True,167,0.5120,4.9394,16.60
167,335,False,2339,0.9294,14.2436,11.65
